"Country or Area","Year","Item","Value"
"Former Czechoslovakia","1990","Gross Domestic Product (GDP)","3699.61275025467"
"Former Czechoslovakia","1989","Gross Domestic Product (GDP)","3770.50372749293"
"Former Czechoslovakia","1988","Gross Domestic Product (GDP)","3850.6911415503"
"Former Czechoslovakia","1987","Gross Domestic Product (GDP)","3903.11350346322"
"Former Czechoslovakia","1986","Gross Domestic Product (GDP)","3482.5399221832"
"Former Czechoslovakia","1985","Gross Domestic Product (GDP)","2972.93160473473"
"Former Czechoslovakia","1984","Gross Domestic Product (GDP)","2978.81877195698"
"Former Czechoslovakia","1983","Gross Domestic Product (GDP)","3303.52319495018"
"Former Czechoslovakia","1982","Gross Domestic Product (GDP)","3335.69119313509"
"Former Czechoslovakia","1981","Gross Domestic Product (GDP)","3319.76930777318"
"Former Czechoslovakia","1980","Gross Domestic Product (GDP)","3137.10000724148"
"Former Czechoslovakia","1979","Gross Domestic Product (GDP)","3010.25585523267"
"Former Czechoslovakia","1978","Gross Domestic Product (GDP)","2818.48622525223"
"Former Czechoslovakia","1977","Gross Domestic Product (GDP)","2575.65249590382"
"Former Czechoslovakia","1976","Gross Domestic Product (GDP)","1809.42165096326"
"Former Czechoslovakia","1975","Gross Domestic Product (GDP)","1849.22229997066"
"Former Czechoslovakia","1974","Gross Domestic Product (GDP)","1689.75412970206"
"Former Czechoslovakia","1973","Gross Domestic Product (GDP)","1586.73821610696"
"Former Czechoslovakia","1972","Gross Domestic Product (GDP)","1351.52067530496"
"Former Czechoslovakia","1971","Gross Domestic Product (GDP)","1185.36985896527"
"Former Czechoslovakia","1970","Gross Domestic Product (GDP)","1137.97975909349"

